day,energy,mass
35,1267100,4000
36,1267700,4000
37,847700,4000
38,1092700,4000
39,1274000,4000
40,1057400,4000
41,1083900,4000
42,679700,4000
43,583500,4000
44,137900,4000
45,0,4000
46,910700,4000
47,406100,4000
48,389900,4000
49,686700,4000
50,707700,4000
51,473900,4000
52,1060500,4000
53,67900,4000
54,1274000,4000
55,450800,4000
56,696500,4000
57,747600,4000
58,996300,4000
59,1273700,4000
60,1269800,4000
61,1265600,4000
62,74000,4000
63,1188300,4000
64,1267700,4000
65,305900,4000
66,781000,4000
67,1257800,4000
68,782300,4000
69,1268900,4000
70,492800,4000
71,284900,4000
72,1269800,4000
73,1270700,4000
74,1267700,4000
75,1269200,4000
76,464800,4000
77,0,4000
78,1265000,4000
79,772800,4000
80,241700,4000
81,1259600,4000
82,1264100,4000
83,1269800,4000
84,371700,4000
85,1270700,4000
86,565900,4000
87,620100,4000
88,1267700,4000
89,1265300,4000
90,772800,4000
91,514100,4000
92,733600,4000
93,0,4000
94,1034600,4000
95,1271900,4000
96,1264100,4000
97,1262000,4000
98,0,4000
99,0,4000
100,1267700,4000
101,1267700,4000
102,0,4000
103,1063600,4000
104,26800,4000
105,186300,4000
106,1265600,4000
107,630700,4000
108,1269800,4000
109,0,4000
110,1271900,4000
111,1271900,4000
112,1271900,4000
113,631100,4000
114,1231300,4000
115,200900,4000
116,1245800,4000
117,442300,4000
118,483100,4000
119,60900,4000
120,769200,4000
121,1267700,4000
122,952100,4000
123,352800,4000
124,628600,4000
125,1269800,4000
126,296800,4000
127,0,4000
128,1017800,4000
129,256900,4000
130,326900,4000
131,1271900,4000
132,1265600,4000
133,231700,4000
134,158900,4000
135,6700,4000
136,1076600,4000
137,1268900,4000
138,0,4000
139,172900,4000
140,403900,4000
141,1269200,4000
142,1267100,4000
143,730800,4000
144,1263500,4000
145,1272200,4000
146,1262900,4000
147,1267700,4000
148,1221500,4000
149,1271900,4000
150,1267700,4000
151,1090600,4000
152,244500,4000
153,1252000,4000
154,469700,4000
155,430100,4000
156,1267700,4000
157,874300,4000
158,624600,4000
159,1271300,4000
160,1267700,4000
161,653800,4000
162,804300,4000
163,1267700,4000
164,1015700,4000
165,1263500,4000
166,95900,4000
167,1267700,4000
168,1261100,4000
169,1265000,4000
170,1269800,4000
171,499800,4000
172,1265600,4000
173,616700,4000
174,539700,4000
175,1265600,4000
176,1006600,4000
177,326900,4000
178,331800,4000
179,1271900,4000
180,737800,4000
181,1268900,4000
182,1267700,4000
183,1271900,4000
184,824600,4000
185,1165500,4000
186,245700,4000
187,763700,4000
188,0,4000
189,1255200,4000
190,834300,4000
191,1269500,4000
192,1265600,4000
193,1267100,4000
194,1271900,4000
195,1265600,4000
196,985600,4000
197,952700,4000
198,1271900,4000
199,1263500,4000
200,383600,4000
0,0,10000
1,0,10000
2,0,10000
3,0,10000
4,0,10000
5,0,10000
6,0,10000
7,0,10000
8,0,10000
9,1651300,10000
10,1928500,10000
11,1275400,10000
12,680700,10000
13,1501000,10000
14,885500,10000
15,1846600,10000
16,115400,10000
17,2085900,10000
18,2693400,10000
19,950600,10000
20,347900,10000
21,317800,10000
22,842800,10000
23,3001500,10000
24,1471400,10000
25,254800,10000
26,1072400,10000
27,1794600,10000
28,1129300,10000
29,824600,10000
30,845600,10000
31,1634800,10000
32,2594200,10000
33,0,10000
34,3005400,10000
35,1389500,10000
36,639800,10000
37,2384200,10000
38,1371500,10000
39,3013800,10000
40,1263500,10000
41,275200,10000
42,1085500,10000
43,817000,10000
44,2769200,10000
45,130600,10000
46,2405300,10000
47,269400,10000
48,856800,10000
49,674800,10000
50,1454600,10000
51,1471400,10000
52,807800,10000
53,60900,10000
54,1298500,10000
55,1013600,10000
56,2407300,10000
57,473900,10000
58,0,10000
59,534800,10000
60,907100,10000
61,2951100,10000
62,0,10000
63,884300,10000
64,2125200,10000
65,116900,10000
66,2897100,10000
67,457800,10000
68,2337400,10000
69,438900,10000
70,2661400,10000
71,2048200,10000
72,74900,10000
73,305900,10000
74,819700,10000
75,2381400,10000
76,2809100,10000
77,987400,10000
78,2251200,10000
79,1667400,10000
80,1672300,10000
81,2291300,10000
82,2993700,10000
83,0,10000
84,0,10000
85,1448000,10000
86,1236400,10000
87,2295300,10000
88,80400,10000
89,1284500,10000
90,1001700,10000
91,1250100,10000
92,2001300,10000
93,345800,10000
94,1868300,10000
95,833700,10000
96,1387400,10000
97,1141700,10000
98,0,10000
99,1317400,10000
100,2837100,10000
101,1327800,10000
102,3024000,10000
103,2428300,10000
