day,energy,mass
110,6700,500
111,6700,500
112,0,500
113,0,500
114,0,500
115,0,500
116,0,500
117,0,500
118,0,500
119,0,500
120,0,500
121,0,500
0,0,1000
1,0,1000
2,0,1000
3,0,1000
4,0,1000
5,0,1000
6,0,1000
7,0,1000
8,0,1000
9,80400,1000
10,1532200,1000
11,0,1000
12,0,1000
13,73700,1000
14,466900,1000
15,20100,1000
16,0,1000
17,368900,1000
18,40200,1000
19,0,1000
20,0,1000
21,0,1000
22,0,1000
23,529900,1000
24,0,1000
25,0,1000
26,0,1000
27,0,1000
28,0,1000
29,0,1000
30,46900,1000
31,0,1000
32,26800,1000
33,0,1000
34,0,1000
35,0,1000
36,0,1000
37,40200,1000
38,0,1000
39,0,1000
40,0,1000
41,0,1000
42,0,1000
43,0,1000
44,0,1000
45,0,1000
46,0,1000
47,0,1000
48,0,1000
49,46900,1000
50,0,1000
51,0,1000
52,0,1000
53,80400,1000
54,0,1000
55,0,1000
56,0,1000
57,40200,1000
58,0,1000
59,515900,1000
60,0,1000
61,0,1000
62,0,1000
63,0,1000
64,0,1000
65,0,1000
66,570100,1000
67,403900,1000
68,0,1000
69,0,1000
70,0,1000
71,0,1000
72,0,1000
73,515900,1000
74,0,1000
75,46900,1000
76,13400,1000
77,120600,1000
78,0,1000
79,40200,1000
80,0,1000
81,0,1000
82,0,1000
83,0,1000
84,0,1000
85,0,1000
86,0,1000
87,0,1000
88,0,1000
89,0,1000
90,0,1000
91,0,1000
92,0,1000
93,113900,1000
94,0,1000
95,430700,1000
96,46900,1000
97,4778300,1000
98,0,1000
99,1577300,1000
100,0,1000
101,0,1000
102,0,1000
103,40200,1000
104,0,1000
105,0,1000
106,0,1000
107,0,1000
108,0,1000
109,0,1000
110,0,1000
111,0,1000
112,0,1000
113,0,1000
114,1435700,1000
115,93800,1000
116,0,1000
117,0,1000
118,0,1000
119,0,1000
120,6700,1000
121,0,1000
0,0,4000
1,0,4000
2,0,4000
3,0,4000
4,0,4000
5,0,4000
6,0,4000
7,0,4000
8,0,4000
9,1050400,4000
10,0,4000
11,0,4000
12,0,4000
13,73700,4000
14,0,4000
15,13400,4000
16,284900,4000
17,0,4000
18,0,4000
19,0,4000
20,0,4000
21,0,4000
22,0,4000
23,931700,4000
24,0,4000
25,0,4000
26,33500,4000
27,20100,4000
28,0,4000
29,0,4000
30,0,4000
31,0,4000
32,0,4000
33,0,4000
34,33500,4000
35,0,4000
36,0,4000
37,0,4000
38,0,4000
39,40200,4000
40,93800,4000
41,0,4000
42,0,4000
43,20100,4000
44,0,4000
45,13400,4000
46,0,4000
47,1456700,4000
48,0,4000
49,0,4000
50,0,4000
51,0,4000
52,6700,4000
53,20100,4000
54,0,4000
55,0,4000
56,113900,4000
57,0,4000
58,0,4000
59,0,4000
60,0,4000
61,0,4000
62,0,4000
63,1386700,4000
64,0,4000
65,375900,4000
66,0,4000
67,0,4000
68,0,4000
69,0,4000
70,0,4000
71,0,4000
72,0,4000
73,410900,4000
74,0,4000
75,0,4000
76,0,4000
77,0,4000
78,0,4000
79,0,4000
80,33500,4000
81,0,4000
82,0,4000
83,0,4000
84,0,4000
85,0,4000
86,0,4000
87,0,4000
88,0,4000
89,0,4000
90,0,4000
91,0,4000
92,20100,4000
93,0,4000
94,0,4000
95,0,4000
96,6700,4000
97,459900,4000
98,0,4000
99,382900,4000
100,0,4000
101,0,4000
102,0,4000
103,0,4000
104,1425400,4000
105,0,4000
106,113900,4000
107,33500,4000
108,20100,4000
109,6700,4000
110,0,4000
111,0,4000
112,522900,4000
113,0,4000
114,26800,4000
115,13400,4000
116,1386700,4000
117,0,4000
118,2213400,4000
119,120600,4000
120,0,4000
121,0,4000
122,0,4000
0,0,6000
1,0,6000
2,0,6000
3,0,6000
4,0,6000
5,0,6000
6,0,6000
7,0,6000
8,0,6000
9,278600,6000
10,20100,6000
11,0,6000
12,1393700,6000
13,0,6000
14,0,6000
15,0,6000
16,0,6000
17,0,6000
18,0,6000
19,0,6000
20,0,6000
21,0,6000
22,33500,6000
23,0,6000
24,0,6000
25,0,6000
26,0,6000
27,0,6000
28,0,6000
29,46900,6000
30,0,6000
31,0,6000
32,13400,6000
33,107200,6000
34,0,6000
35,26800,6000
36,0,6000
37,33500,6000
38,0,6000
39,0,6000
40,6700,6000
41,0,6000
42,26800,6000
43,0,6000
44,0,6000
45,26800,6000
46,354900,6000
47,479400,6000
48,20100,6000
49,0,6000
50,0,6000
51,0,6000
52,0,6000
53,0,6000
54,0,6000
55,1204700,6000
56,0,6000
57,0,6000
58,13400,6000
59,33500,6000
60,0,6000
61,33500,6000
62,13400,6000
63,0,6000
64,0,6000
65,0,6000
66,0,6000
67,0,6000
68,0,6000
69,13400,6000
70,508900,6000
71,26800,6000
72,53600,6000
73,0,6000
74,0,6000
75,0,6000
76,40200,6000
77,0,6000
78,410900,6000
79,13400,6000
80,0,6000
81,0,6000
82,0,6000
83,1614700,6000
84,100500,6000
85,67000,6000
86,6700,6000
87,326900,6000
88,0,6000
89,0,6000
90,93800,6000
91,13400,6000
92,13400,6000
93,158900,6000
94,389000,6000
95,0,6000
96,0,6000
97,1498700,6000
98,660800,6000
99,0,6000
100,13400,6000
101,13400,6000
102,0,6000
103,515900,6000
104,0,6000
105,0,6000
106,0,6000
107,0,6000
108,515900,6000
109,0,6000
110,1449700,6000
111,0,6000
112,46900,6000
113,6700,6000
114,33500,6000
115,0,6000
116,134000,6000
117,0,6000
118,270900,6000
119,0,6000
120,0,6000
121,46900,6000
122,917700,6000
123,0,6000
124,0,6000
0,0,10000
1,0,10000
2,0,10000
3,0,10000
4,0,10000
5,0,10000
6,0,10000
7,0,10000
8,0,10000
9,140700,10000
10,20100,10000
11,6700,10000
12,0,10000
13,0,10000
14,26800,10000
15,0,10000
16,0,10000
17,40200,10000
18,0,10000
19,6700,10000
20,304100,10000
21,0,10000
22,0,10000
23,0,10000
24,0,10000
25,0,10000
26,0,10000
27,0,10000
28,657200,10000
29,0,10000
30,1169700,10000
31,13400,10000
32,556400,10000
33,0,10000
34,40200,10000
35,95900,10000
36,0,10000
37,0,10000
38,13400,10000
39,0,10000
40,0,10000
41,0,10000
42,13400,10000
43,6700,10000
44,0,10000
45,53600,10000
46,0,10000
47,0,10000
48,610000,10000
49,0,10000
50,4814500,10000
51,0,10000
52,0,10000
53,0,10000
54,53600,10000
55,46900,10000
56,20100,10000
57,0,10000
58,0,10000
59,40200,10000
60,0,10000
61,375900,10000
62,0,10000
63,0,10000
64,0,10000
65,0,10000
66,508900,10000
67,515900,10000
68,0,10000
69,0,10000
70,0,10000
71,60300,10000
72,0,10000
73,140700,10000
74,13400,10000
75,0,10000
76,0,10000
77,0,10000
78,0,10000
79,13400,10000
80,0,10000
81,1532500,10000
82,0,10000
83,0,10000
84,522900,10000
85,26800,10000
86,0,10000
87,0,10000
88,522900,10000
89,0,10000
90,33500,10000
91,40200,10000
92,0,10000
93,0,10000
94,46900,10000
95,0,10000
96,0,10000
97,0,10000
98,26800,10000
99,6700,10000
100,13400,10000
101,100500,10000
102,0,10000
103,2032000,10000
104,1505700,10000
105,0,10000
106,0,10000
107,0,10000
108,0,10000
109,6700,10000
110,26800,10000
111,60300,10000
112,0,10000
113,0,10000
114,0,10000
115,522900,10000
116,0,10000
117,113900,10000
118,0,10000
119,0,10000
120,0,10000
121,6700,10000
122,0,10000
